iter	Passed	Remaining
637	1383	784
638	1385	782
639	1386	779
640	1388	777
641	1389	775
642	1391	772
643	1393	770
644	1395	768
645	1397	765
646	1399	763
647	1401	761
648	1403	758
649	1404	756
650	1406	754
651	1408	751
652	1410	749
653	1412	747
654	1414	744
655	1416	742
656	1417	740
657	1419	737
658	1420	735
659	1422	732
660	1424	730
661	1425	727
662	1427	725
663	1429	723
664	1431	720
665	1432	718
666	1434	716
667	1436	713
668	1437	711
669	1439	709
670	1441	706
671	1442	704
672	1444	701
673	1446	699
674	1448	697
675	1449	694
676	1451	692
677	1453	690
678	1454	687
679	1456	685
680	1459	683
681	1460	681
682	1462	678
683	1463	676
684	1465	673
685	1467	671
686	1468	669
687	1470	666
688	1472	664
689	1475	662
690	1476	660
691	1478	658
692	1480	655
693	1482	653
694	1483	651
695	1485	648
696	1487	646
697	1489	644
698	1491	642
699	1493	640
700	1495	637
701	1497	635
702	1499	633
703	1501	631
704	1503	629
705	1505	626
706	1507	624
707	1508	622
708	1510	620
709	1512	617
710	1513	615
711	1515	612
712	1516	610
713	1519	608
714	1521	606
715	1522	604
716	1524	601
717	1526	599
718	1528	597
719	1529	594
720	1531	592
721	1533	590
722	1535	588
723	1537	585
724	1538	583
725	1540	581
726	1541	579
727	1543	576
728	1544	574
729	1546	572
730	1549	570
731	1550	567
732	1552	565
733	1553	563
734	1555	560
735	1557	558
736	1558	556
737	1560	553
738	1561	551
739	1564	549
740	1565	547
741	1567	545
742	1569	542
743	1570	540
744	1572	538
745	1574	535
746	1575	533
747	1578	531
748	1579	529
749	1581	527
750	1583	524
751	1584	522
752	1586	520
753	1588	518
754	1590	515
755	1592	513
756	1594	511
757	1596	509
758	1597	507
759	1599	505
760	1601	502
761	1603	500
762	1604	498
763	1606	496
764	1608	494
765	1610	491
766	1611	489
767	1613	487
768	1614	484
769	1616	482
770	1618	480
771	1619	478
772	1621	476
773	1623	474
774	1625	471
775	1626	469
776	1628	467
777	1630	465
778	1632	463
779	1633	460
780	1635	458
781	1637	456
782	1639	454
783	1640	452
784	1642	449
785	1644	447
786	1645	445
787	1647	443
788	1648	440
789	1651	438
790	1652	436
791	1654	434
792	1656	432
793	1657	430
794	1659	427
795	1661	425
796	1662	423
797	1664	421
798	1667	419
799	1669	417
800	1670	415
801	1672	412
802	1673	410
803	1675	408
804	1677	406
805	1678	404
806	1680	401
807	1682	399
808	1684	397
809	1686	395
810	1687	393
811	1689	391
812	1691	388
813	1692	386
814	1694	384
815	1696	382
816	1698	380
817	1700	378
818	1702	376
819	1703	373
820	1705	371
821	1707	369
822	1708	367
823	1710	365
824	1712	363
825	1714	361
826	1716	359
827	1717	356
828	1719	354
829	1721	352
830	1722	350
831	1724	348
832	1727	346
833	1728	344
834	1730	341
835	1732	339
836	1734	337
837	1735	335
838	1737	333
839	1739	331
840	1740	329
841	1742	327
842	1744	324
843	1746	322
844	1748	320
845	1749	318
846	1751	316
847	1753	314
848	1755	312
849	1757	310
850	1759	308
851	1761	305
852	1763	303
853	1764	301
854	1766	299
855	1768	297
856	1769	295
857	1772	293
858	1773	291
859	1775	289
860	1776	286
861	1778	284
862	1780	282
863	1781	280
864	1783	278
865	1785	276
866	1787	274
867	1788	272
868	1790	269
869	1792	267
870	1794	265
871	1795	263
872	1797	261
873	1798	259
874	1800	257
875	1802	255
876	1804	253
877	1806	250
878	1807	248
879	1809	246
880	1811	244
881	1813	242
882	1815	240
883	1817	238
884	1819	236
885	1820	234
886	1822	232
887	1823	230
888	1825	227
889	1827	225
890	1828	223
891	1831	221
892	1832	219
893	1834	217
894	1836	215
895	1838	213
896	1840	211
897	1842	209
898	1843	207
899	1846	205
900	1848	203
901	1850	200
902	1851	198
903	1853	196
904	1855	194
905	1857	192
906	1858	190
907	1860	188
908	1862	186
909	1864	184
910	1866	182
911	1868	180
912	1869	178
913	1871	176
914	1872	173
915	1875	171
916	1877	169
917	1878	167
918	1880	165
919	1882	163
920	1884	161
921	1885	159
922	1887	157
923	1889	155
924	1891	153
925	1893	151
926	1894	149
927	1896	147
928	1898	145
929	1900	143
930	1902	140
931	1904	138
932	1906	136
933	1908	134
934	1910	132
935	1912	130
936	1914	128
937	1916	126
938	1918	124
939	1920	122
940	1922	120
941	1923	118
942	1925	116
943	1927	114
944	1928	112
945	1930	110
946	1931	108
947	1933	106
948	1935	104
949	1937	101
950	1938	99
951	1940	97
952	1942	95
953	1943	93
954	1945	91
955	1947	89
956	1949	87
957	1951	85
958	1953	83
959	1954	81
960	1956	79
961	1958	77
962	1960	75
963	1961	73
964	1963	71
965	1965	69
966	1967	67
967	1969	65
968	1970	63
969	1972	61
970	1974	58
971	1975	56
972	1977	54
973	1979	52
974	1981	50
975	1983	48
976	1984	46
977	1986	44
978	1988	42
979	1990	40
980	1992	38
981	1994	36
982	1996	34
983	1997	32
984	1999	30
985	2002	28
986	2004	26
987	2005	24
988	2007	22
989	2010	20
990	2011	18
991	2013	16
992	2015	14
993	2017	12
994	2018	10
995	2020	8
996	2021	6
997	2023	4
998	2025	2
999	2027	0
